,0,1,2,3,4,5
0,1011334,3-D Man,,2014-04-29T14:18:17-0400,http://i.annihil.us/u/prod/marvel/i/mg/c/e0/535fecbbb9784.jpg,http://marvel.com/characters/74/3-d_man?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
1,1017100,A-Bomb (HAS),"Rick Jones has been Hulk's best bud since day one, but now he's more than a friend...he's a teammate! Transformed by a Gamma energy explosion, A-Bomb's thick, armored skin is just as strong and powerful as it is blue. And when he curls into action, he uses it like a giant bowling ball of destruction! ",2013-09-18T15:54:04-0400,http://i.annihil.us/u/prod/marvel/i/mg/3/20/5232158de5b16.jpg,http://marvel.com/characters/76/a-bomb?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
2,1009144,A.I.M.,AIM is a terrorist organization bent on destroying the world.,2013-10-17T14:41:30-0400,http://i.annihil.us/u/prod/marvel/i/mg/6/20/52602f21f29ec.jpg,http://marvel.com/characters/77/aim.?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
3,1010699,Aaron Stack,,1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,http://marvel.com/characters/2809/aaron_stack?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
4,1009146,Abomination (Emil Blonsky),"Formerly known as Emil Blonsky, a spy of Soviet Yugoslavian origin working for the KGB, the Abomination gained his powers after receiving a dose of gamma radiation similar to that which transformed Bruce Banner into the incredible Hulk.",2012-03-20T12:32:12-0400,http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce18691cbf04.jpg,http://marvel.com/characters/81/abomination?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
5,1016823,Abomination (Ultimate),,2012-07-10T19:11:52-0400,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,http://marvel.com/characters/81/abomination?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
6,1009148,Absorbing Man,,2013-10-24T14:32:08-0400,http://i.annihil.us/u/prod/marvel/i/mg/1/b0/5269678709fb7.jpg,http://marvel.com/characters/84/absorbing_man?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
7,1009149,Abyss,,2014-04-29T14:10:43-0400,http://i.annihil.us/u/prod/marvel/i/mg/9/30/535feab462a64.jpg,http://marvel.com/characters/85/abyss?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
8,1010903,Abyss (Age of Apocalypse),,1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/3/80/4c00358ec7548.jpg,http://marvel.com/characters/85/abyss?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
9,1011266,Adam Destine,,1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,http://marvel.com/characters/2902/adam_destine?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
10,1010354,Adam Warlock,Adam Warlock is an artificially created human who was born in a cocoon at a scientific complex called The Beehive.,2013-08-07T13:49:06-0400,http://i.annihil.us/u/prod/marvel/i/mg/a/f0/5202887448860.jpg,http://marvel.com/comics/characters/1010354/adam_warlock?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
11,1010846,Aegis (Trey Rollins),,1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/5/e0/4c0035c9c425d.gif,http://marvel.com/characters/95/aegis?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
12,1011297,Agent Brand,,2013-10-24T13:09:30-0400,http://i.annihil.us/u/prod/marvel/i/mg/4/60/52695285d6e7e.jpg,http://marvel.com/comics/characters/1011297/agent_brand?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
13,1011031,Agent X (Nijo),"Originally a partner of the mind-altering assassin Black Swan, Nijo spied on Deadpool as part of the Swan's plan to exact revenge for Deadpool falsely taking credit for the Swan's assassination of the Four Winds crime family, which included Nijo's brother.",1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,http://marvel.com/characters/101/agent_x?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
14,1009150,Agent Zero,,1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c0042121d790.jpg,http://marvel.com/characters/102/agent_zero?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
15,1011198,Agents of Atlas,,2016-02-03T10:25:22-0500,http://i.annihil.us/u/prod/marvel/i/mg/9/a0/4ce18a834b7f5.jpg,http://marvel.com/comics/characters/1011198/agents_of_atlas?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
16,1011175,Aginar,,1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,http://marvel.com/characters/105/aginar?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
17,1011136,Air-Walker (Gabriel Lan),,1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,http://marvel.com/characters/109/air-walker?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
18,1011176,Ajak,,1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/2/80/4c002f35c5215.jpg,http://marvel.com/characters/111/ajak?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
19,1010870,Ajaxis,,1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/b/70/4c0035adc7d3a.jpg,http://marvel.com/characters/113/ajaxis?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
20,1011194,Akemi,,1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,http://marvel.com/characters/114/akemi?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
21,1011170,Alain,,1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,http://marvel.com/characters/116/alain?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
22,1009240,Albert Cleary,,1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,http://marvel.com/characters/2692/albert_cleary?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
23,1011120,Albion,,1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,http://marvel.com/characters/118/albion?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
24,1010836,Alex Power,,2011-10-27T09:57:58-0400,http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce5a385a2e82.jpg,http://marvel.com/characters/1387/alex_power?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
25,1010755,Alex Wilder,"Despite being the only one of the Runaways without any superhuman abilities or tech, Alex Wilder became the de facto leader of the group due to his natural leadership skills and intellect, as well as prodigy-level logic and strategy.",1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/2/c0/4c00377144d5a.jpg,http://marvel.com/characters/2820/alex_wilder?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
26,1011214,Alexa Mendez,,1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,http://marvel.com/characters/2892/alexa_mendez?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
27,1009497,Alexander Pierce,,1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,http://marvel.com/characters/2738/alexander_pierce?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
28,1014990,Alice,,2010-11-18T16:01:44-0500,http://i.annihil.us/u/prod/marvel/i/mg/6/70/4cd061e6d6573.jpg,http://marvel.com/characters/122/alice?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
29,1009435,Alicia Masters,,1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/b/40/4c003d40ac7ae.jpg,http://marvel.com/characters/2732/alicia_masters?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
30,1010370,Alpha Flight,,2013-10-24T13:09:22-0400,http://i.annihil.us/u/prod/marvel/i/mg/1/60/52695277ee088.jpg,http://marvel.com/characters/126/alpha_flight?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
31,1011324,Alpha Flight (Ultimate),,1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,http://marvel.com/characters/126/alpha_flight?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
32,1011164,Alvin Maker,,1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,http://marvel.com/characters/2880/alvin_maker?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
33,1011227,Amadeus Cho,,2013-08-07T13:50:56-0400,http://i.annihil.us/u/prod/marvel/i/mg/3/80/520288b9cb581.jpg,http://marvel.com/comics/characters/1011227/amadeus_cho?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
34,1009567,Amanda Sefton,,1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,http://marvel.com/characters/2755/amanda_sefton?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
35,1011382,Amazoness,,1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,http://marvel.com/characters/130/amazoness?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
36,1011361,American Eagle (Jason Strongbow),,1969-12-31T19:00:00-0500,http://i.annihil.us/u/prod/marvel/i/mg/f/80/4ce5a6d8b8f2a.jpg,http://marvel.com/characters/132/american_eagle?utm_campaign=apiRef&utm_source=af18b752302271b4b7597d2abfb4c037
